path,filename,word,phrase,upload_date,token
/content/asl_app_data/dictionary/SG ASL Anesthesia Alt 1 2023-6-29.mkv,SG ASL Anesthesia Alt 1 2023-6-29.mkv,Anesthesia,,2023-6-29,ANESTHESIA
/content/asl_app_data/dictionary/SG ASL Angel 2023-6-30.mkv,SG ASL Angel 2023-6-30.mkv,Angel,,2023-6-30,ANGEL
/content/asl_app_data/dictionary/SG ASL Anger (Alt) 2023-7-1.mkv,SG ASL Anger (Alt) 2023-7-1.mkv,Anger,,2023-7-1,ANGER
/content/asl_app_data/dictionary/SG ASL Anger (Alt) Variant 2023-6-30.mkv,SG ASL Anger (Alt) Variant 2023-6-30.mkv,,Anger Variant,2023-6-30,ANGER VARIANT
/content/asl_app_data/dictionary/SG ASL Angle 1 2023-7-1.mkv,SG ASL Angle 1 2023-7-1.mkv,Angle,,2023-7-1,ANGLE
/content/asl_app_data/dictionary/SG ASL Animal 1 2023-7-2.mkv,SG ASL Animal 1 2023-7-2.mkv,Animal,,2023-7-2,ANIMAL
/content/asl_app_data/dictionary/SG ASL Animation 1 2023-7-2.mkv,SG ASL Animation 1 2023-7-2.mkv,Animation,,2023-7-2,ANIMATION
/content/asl_app_data/dictionary/SG ASL Animosity 1 2023-7-2.mkv,SG ASL Animosity 1 2023-7-2.mkv,Animosity,,2023-7-2,ANIMOSITY
/content/asl_app_data/dictionary/SG ASL Annex Alt 1 2023-7-3.mkv,SG ASL Annex Alt 1 2023-7-3.mkv,Annex,,2023-7-3,ANNEX
/content/asl_app_data/dictionary/SG ASL Annex Building 1 2023-7-3.mkv,SG ASL Annex Building 1 2023-7-3.mkv,,Annex Building,2023-7-3,ANNEX BUILDING
/content/asl_app_data/dictionary/SG ASL Annihilate 1 2023-7-4.mkv,SG ASL Annihilate 1 2023-7-4.mkv,Annihilate,,2023-7-4,ANNIHILATE
/content/asl_app_data/dictionary/SG ASL Anniversary 1 2023-7-4.mkv,SG ASL Anniversary 1 2023-7-4.mkv,Anniversary,,2023-7-4,ANNIVERSARY
/content/asl_app_data/dictionary/SG ASL Anniversary Date 2023-7-4.mkv,SG ASL Anniversary Date 2023-7-4.mkv,,Anniversary Date,2023-7-4,ANNIVERSARY DATE
/content/asl_app_data/dictionary/SG ASL Annoint 1 2023-7-4.mkv,SG ASL Annoint 1 2023-7-4.mkv,Annoint,,2023-7-4,ANNOINT
/content/asl_app_data/dictionary/SG ASL Annoint Baby 2023-7-4.mkv,SG ASL Annoint Baby 2023-7-4.mkv,,Annoint Baby,2023-7-4,ANNOINT BABY
/content/asl_app_data/dictionary/SG ASL Announce (Alt) 2023-7-5 CC.mp4,SG ASL Announce (Alt) 2023-7-5 CC.mp4,Announce,,2023-7-5,ANNOUNCE
/content/asl_app_data/dictionary/SG ASL Announcer 2023-7-5.mkv,SG ASL Announcer 2023-7-5.mkv,Announcer,,2023-7-5,ANNOUNCER
/content/asl_app_data/dictionary/SG ASL Annoy 1 2023-7-5 CC.mp4,SG ASL Annoy 1 2023-7-5 CC.mp4,Annoy,,2023-7-5,ANNOY
/content/asl_app_data/dictionary/SG ASL Annoyed 2023-7-5 CC.mp4,SG ASL Annoyed 2023-7-5 CC.mp4,Annoyed,,2023-7-5,ANNOYED
/content/asl_app_data/dictionary/SG ASL Annual 1 2023-7-5 CC.mp4,SG ASL Annual 1 2023-7-5 CC.mp4,Annual,,2023-7-5,ANNUAL
/content/asl_app_data/dictionary/SG ASL Annul 2023-7-6 CC.mp4,SG ASL Annul 2023-7-6 CC.mp4,Annul,,2023-7-6,ANNUL
/content/asl_app_data/dictionary/SG ASL Another 1 2023-7-6 CC.mp4,SG ASL Another 1 2023-7-6 CC.mp4,Another,,2023-7-6,ANOTHER
/content/asl_app_data/dictionary/SG ASL Answer 1 2023-7-6 CC.mp4,SG ASL Answer 1 2023-7-6 CC.mp4,Answer,,2023-7-6,ANSWER
/content/asl_app_data/dictionary/SG ASL Answer One Handed 2023-7-6 CC.mp4,SG ASL Answer One Handed 2023-7-6 CC.mp4,,Answer One Handed,2023-7-6,ANSWER ONE HANDED
/content/asl_app_data/dictionary/SG ASL Ant 1 2023-7-6 CC.mp4,SG ASL Ant 1 2023-7-6 CC.mp4,Ant,,2023-7-6,ANT
/content/asl_app_data/dictionary/SG ASL Antagonism 1 2023-7-6 CC.mp4,SG ASL Antagonism 1 2023-7-6 CC.mp4,Antagonism,,2023-7-6,ANTAGONISM
/content/asl_app_data/dictionary/SG ASL Anthem (Alt) 1 2023-7-7 CC.mp4,SG ASL Anthem (Alt) 1 2023-7-7 CC.mp4,Anthem,,2023-7-7,ANTHEM
/content/asl_app_data/dictionary/SG ASL Anthropology Alt 1 2023-7-8 CC.mp4,SG ASL Anthropology Alt 1 2023-7-8 CC.mp4,Anthropology,,2023-7-8,ANTHROPOLOGY
/content/asl_app_data/dictionary/SG ASL Anti 1 2023-7-8 CC.mp4,SG ASL Anti 1 2023-7-8 CC.mp4,Anti,,2023-7-8,ANTI
/content/asl_app_data/dictionary/SG ASL Antichrist 1 2023-7-8 CC.mp4,SG ASL Antichrist 1 2023-7-8 CC.mp4,Antichrist,,2023-7-8,ANTICHRIST
/content/asl_app_data/dictionary/SG ASL Anticipate 1 2023-7-9 CC.mp4,SG ASL Anticipate 1 2023-7-9 CC.mp4,Anticipate,,2023-7-9,ANTICIPATE
/content/asl_app_data/dictionary/SG ASL Antidote 1 2023-7-9 CC.mp4,SG ASL Antidote 1 2023-7-9 CC.mp4,Antidote,,2023-7-9,ANTIDOTE
/content/asl_app_data/dictionary/SG ASL Antifreeze 1 2023-7-10 CC.mp4,SG ASL Antifreeze 1 2023-7-10 CC.mp4,Antifreeze,,2023-7-10,ANTIFREEZE
/content/asl_app_data/dictionary/SG ASL Antigravity 1 2023-7-10 CC.mp4,SG ASL Antigravity 1 2023-7-10 CC.mp4,Antigravity,,2023-7-10,ANTIGRAVITY
/content/asl_app_data/dictionary/SG ASL Antigua and Barbardos (Alt) 1 2023-7-10 CC.mp4,SG ASL Antigua and Barbardos (Alt) 1 2023-7-10 CC.mp4,,Antigua and Barbardos,2023-7-10,ANTIGUA AND BARBARDOS
/content/asl_app_data/dictionary/SG ASL Antique 2023-7-11 CC.mp4,SG ASL Antique 2023-7-11 CC.mp4,Antique,,2023-7-11,ANTIQUE
/content/asl_app_data/dictionary/SG ASL Antiscocial (Alt) 1 2023-7-11 CC.mp4,SG ASL Antiscocial (Alt) 1 2023-7-11 CC.mp4,Antiscocial,,2023-7-11,ANTISCOCIAL
/content/asl_app_data/dictionary/SG ASL Antithesis 1 2023-7-13 CC.mp4,SG ASL Antithesis 1 2023-7-13 CC.mp4,Antithesis,,2023-7-13,ANTITHESIS
/content/asl_app_data/dictionary/SG ASL Antler 1 2023-7-14 CC.mp4,SG ASL Antler 1 2023-7-14 CC.mp4,Antler,,2023-7-14,ANTLER
/content/asl_app_data/dictionary/SG ASL Antonym 1 2023-7-15 CC.mp4,SG ASL Antonym 1 2023-7-15 CC.mp4,Antonym,,2023-7-15,ANTONYM
/content/asl_app_data/dictionary/SG ASL Anxious (Alt) 1 2023-7-15 CC.mp4,SG ASL Anxious (Alt) 1 2023-7-15 CC.mp4,Anxious,,2023-7-15,ANXIOUS
/content/asl_app_data/dictionary/SG ASL Anxious (Alt) Other Variant 1 2023-7-15 CC.mp4,SG ASL Anxious (Alt) Other Variant 1 2023-7-15 CC.mp4,,Anxious Other Variant,2023-7-15,ANXIOUS OTHER VARIANT
/content/asl_app_data/dictionary/SG ASL Anxious (Alt) Variant 1 2023-7-15 CC.mp4,SG ASL Anxious (Alt) Variant 1 2023-7-15 CC.mp4,,Anxious Variant,2023-7-15,ANXIOUS VARIANT
/content/asl_app_data/dictionary/SG ASL Any (Alt) 2023-7-16 CC.mp4,SG ASL Any (Alt) 2023-7-16 CC.mp4,Any,,2023-7-16,ANY
/content/asl_app_data/dictionary/SG ASL Anybody (Alt) 1 2023-7-16 CC.mp4,SG ASL Anybody (Alt) 1 2023-7-16 CC.mp4,Anybody,,2023-7-16,ANYBODY
/content/asl_app_data/dictionary/SG ASL Anymore 1 2023-7-16 CC.mp4,SG ASL Anymore 1 2023-7-16 CC.mp4,Anymore,,2023-7-16,ANYMORE
/content/asl_app_data/dictionary/SG ASL Anyone 1 2023-7-16 CC.mp4,SG ASL Anyone 1 2023-7-16 CC.mp4,Anyone,,2023-7-16,ANYONE
/content/asl_app_data/dictionary/SG ASL Anything (Alt) 2023-7-19 CC.mp4,SG ASL Anything (Alt) 2023-7-19 CC.mp4,Anything,,2023-7-19,ANYTHING
/content/asl_app_data/dictionary/SG ASL Anything OneHanded 1 2023-7-19 CC.mp4,SG ASL Anything OneHanded 1 2023-7-19 CC.mp4,,Anything OneHanded,2023-7-19,ANYTHING ONEHANDED
/content/asl_app_data/dictionary/SG ASL Anytime 1 2023-7-19 CC.mp4,SG ASL Anytime 1 2023-7-19 CC.mp4,Anytime,,2023-7-19,ANYTIME
/content/asl_app_data/dictionary/SG ASL Anywhere 1 2023-7-19 CC.mp4,SG ASL Anywhere 1 2023-7-19 CC.mp4,Anywhere,,2023-7-19,ANYWHERE
/content/asl_app_data/dictionary/SG ASL Apart 2023-7-20 CC.mp4,SG ASL Apart 2023-7-20 CC.mp4,Apart,,2023-7-20,APART
/content/asl_app_data/dictionary/SG ASL Apartment 1 2023-7-20 CC.mp4,SG ASL Apartment 1 2023-7-20 CC.mp4,Apartment,,2023-7-20,APARTMENT
/content/asl_app_data/dictionary/SG ASL Apathetic 2023-7-20 CC.mp4,SG ASL Apathetic 2023-7-20 CC.mp4,Apathetic,,2023-7-20,APATHETIC
/content/asl_app_data/dictionary/SG ASL Apathy (Alt) 2023-7-20 CC.mp4,SG ASL Apathy (Alt) 2023-7-20 CC.mp4,Apathy,,2023-7-20,APATHY
/content/asl_app_data/dictionary/SG ASL Ape 1 2023-7-21 CC.mp4,SG ASL Ape 1 2023-7-21 CC.mp4,Ape,,2023-7-21,APE
/content/asl_app_data/dictionary/SG ASL Apex 1 2023-7-22 CC.mp4,SG ASL Apex 1 2023-7-22 CC.mp4,Apex,,2023-7-22,APEX
/content/asl_app_data/dictionary/SG ASL Apology 2023-7-22 CC.mp4,SG ASL Apology 2023-7-22 CC.mp4,Apology,,2023-7-22,APOLOGY
/content/asl_app_data/dictionary/SG ASL Apostrophe 2023-7-23 CC.mp4,SG ASL Apostrophe 2023-7-23 CC.mp4,Apostrophe,,2023-7-23,APOSTROPHE
/content/asl_app_data/dictionary/SG ASL App 1 2023-7-23 CC.mp4,SG ASL App 1 2023-7-23 CC.mp4,App,,2023-7-23,APP
/content/asl_app_data/dictionary/SG ASL Appall 2023-7-23 CC.mp4,SG ASL Appall 2023-7-23 CC.mp4,Appall,,2023-7-23,APPALL
/content/asl_app_data/dictionary/SG ASL Appalling 2 2023-7-23 CC.mp4,SG ASL Appalling 2 2023-7-23 CC.mp4,Appalling,,2023-7-23,APPALLING
/content/asl_app_data/dictionary/SG ASL Apparent 1 2023-7-25 CC.mp4,SG ASL Apparent 1 2023-7-25 CC.mp4,Apparent,,2023-7-25,APPARENT
/content/asl_app_data/dictionary/SG ASL Apparently 1 2023-7-25 CC.mp4,SG ASL Apparently 1 2023-7-25 CC.mp4,Apparently,,2023-7-25,APPARENTLY
/content/asl_app_data/dictionary/SG ASL Applaud (Alt) 2023-7-25 CC.mp4,SG ASL Applaud (Alt) 2023-7-25 CC.mp4,Applaud,,2023-7-25,APPLAUD
/content/asl_app_data/dictionary/SG ASL Apple 1 2023-7-27 CC.mp4,SG ASL Apple 1 2023-7-27 CC.mp4,Apple,,2023-7-27,APPLE
/content/asl_app_data/dictionary/SG ASL Application 2023-7-28 CC.mp4,SG ASL Application 2023-7-28 CC.mp4,Application,,2023-7-28,APPLICATION
/content/asl_app_data/dictionary/SG ASL Apply (Pertains to) 2023-7-28 CC.mp4,SG ASL Apply (Pertains to) 2023-7-28 CC.mp4,,Apply Pertains to,2023-7-28,APPLY PERTAINS TO
/content/asl_app_data/dictionary/SG ASL Appoint 2023-7-29 CC.mp4,SG ASL Appoint 2023-7-29 CC.mp4,Appoint,,2023-7-29,APPOINT
/content/asl_app_data/dictionary/SG ASL Appointment 1 2023-7-29 CC.mp4,SG ASL Appointment 1 2023-7-29 CC.mp4,Appointment,,2023-7-29,APPOINTMENT
/content/asl_app_data/dictionary/SG ASL Appraisal 1 2023-7-30 CC.mp4,SG ASL Appraisal 1 2023-7-30 CC.mp4,Appraisal,,2023-7-30,APPRAISAL
/content/asl_app_data/dictionary/SG ASL Appreciate 2023-7-31 CC.mp4,SG ASL Appreciate 2023-7-31 CC.mp4,Appreciate,,2023-7-31,APPRECIATE
/content/asl_app_data/dictionary/SG ASL Appreciate One Handed 2023-7-30 CC.mp4,SG ASL Appreciate One Handed 2023-7-30 CC.mp4,,Appreciate One Handed,2023-7-30,APPRECIATE ONE HANDED
/content/asl_app_data/dictionary/SG ASL Apprehend 2023-7-31 CC.mp4,SG ASL Apprehend 2023-7-31 CC.mp4,Apprehend,,2023-7-31,APPREHEND
/content/asl_app_data/dictionary/SG ASL Apprehensive 1 2023-7-31 CC.mp4,SG ASL Apprehensive 1 2023-7-31 CC.mp4,Apprehensive,,2023-7-31,APPREHENSIVE
/content/asl_app_data/dictionary/SG ASL Apprise 2023-8-1 CC.mp4,SG ASL Apprise 2023-8-1 CC.mp4,Apprise,,2023-8-1,APPRISE
/content/asl_app_data/dictionary/SG ASL Approach (Alt) 1 2023-8-1 CC.mp4,SG ASL Approach (Alt) 1 2023-8-1 CC.mp4,Approach,,2023-8-1,APPROACH
/content/asl_app_data/dictionary/SG ASL Approach (Location) (Alt) 2023-8-1 CC.mp4,SG ASL Approach (Location) (Alt) 2023-8-1 CC.mp4,,Approach Location,2023-8-1,APPROACH LOCATION
/content/asl_app_data/dictionary/SG ASL Approaching Me 2023-8-2 CC.mp4,SG ASL Approaching Me 2023-8-2 CC.mp4,,Approaching Me,2023-8-2,APPROACHING ME
/content/asl_app_data/dictionary/SG ASL Appropriate 1 2023-8-2 CC.mp4,SG ASL Appropriate 1 2023-8-2 CC.mp4,Appropriate,,2023-8-2,APPROPRIATE
/content/asl_app_data/dictionary/SG ASL Approval 2023-8-3 CC.mp4,SG ASL Approval 2023-8-3 CC.mp4,Approval,,2023-8-3,APPROVAL
/content/asl_app_data/dictionary/SG ASL Approximate Alt 2023-8-4 CC.mp4,SG ASL Approximate Alt 2023-8-4 CC.mp4,Approximate,,2023-8-4,APPROXIMATE
/content/asl_app_data/dictionary/SG ASL Approximate (Local) 2023-8-3 CC.mp4,SG ASL Approximate (Local) 2023-8-3 CC.mp4,,Approximate Local,2023-8-3,APPROXIMATE LOCAL
/content/asl_app_data/dictionary/SG ASL Apron 1 2023-8-4 CC.mp4,SG ASL Apron 1 2023-8-4 CC.mp4,Apron,,2023-8-4,APRON
/content/asl_app_data/dictionary/SG ASL Aquarium (Alt) 2023-8-4 CC.mp4,SG ASL Aquarium (Alt) 2023-8-4 CC.mp4,Aquarium,,2023-8-4,AQUARIUM
/content/asl_app_data/dictionary/SG ASL Arabic 2023-8-5 CC.mp4,SG ASL Arabic 2023-8-5 CC.mp4,Arabic,,2023-8-5,ARABIC
/content/asl_app_data/dictionary/SG ASL Arbor 1 2023-8-5 CC.mp4,SG ASL Arbor 1 2023-8-5 CC.mp4,Arbor,,2023-8-5,ARBOR
/content/asl_app_data/dictionary/SG ASL Arc 1 2023-8-6 CC.mp4,SG ASL Arc 1 2023-8-6 CC.mp4,Arc,,2023-8-6,ARC
/content/asl_app_data/dictionary/SG ASL Arch 1 2023-8-6 CC.mp4,SG ASL Arch 1 2023-8-6 CC.mp4,Arch,,2023-8-6,ARCH
/content/asl_app_data/dictionary/SG ASL Archaelogy (Alt) 2023-8-6 CC.mp4,SG ASL Archaelogy (Alt) 2023-8-6 CC.mp4,Archaelogy,,2023-8-6,ARCHAELOGY
/content/asl_app_data/dictionary/SG ASL Archbishop 2023-8-7 CC.mp4,SG ASL Archbishop 2023-8-7 CC.mp4,Archbishop,,2023-8-7,ARCHBISHOP
/content/asl_app_data/dictionary/SG ASL Archepeligo 1 2023-8-7 CC.mp4,SG ASL Archepeligo 1 2023-8-7 CC.mp4,Archepeligo,,2023-8-7,ARCHEPELIGO
/content/asl_app_data/dictionary/SG ASL Archery (Alt) 2023-8-8 CC.mp4,SG ASL Archery (Alt) 2023-8-8 CC.mp4,Archery,,2023-8-8,ARCHERY
/content/asl_app_data/dictionary/SG ASL Architect 1 2023-8-9 CC.mp4,SG ASL Architect 1 2023-8-9 CC.mp4,Architect,,2023-8-9,ARCHITECT
/content/asl_app_data/dictionary/SG ASL Architect Variant 1 2023-8-9 CC.mp4,SG ASL Architect Variant 1 2023-8-9 CC.mp4,,Architect Variant,2023-8-9,ARCHITECT VARIANT
/content/asl_app_data/dictionary/SG ASL Architecture (Alt) 2023-8-9 CC.mp4,SG ASL Architecture (Alt) 2023-8-9 CC.mp4,Architecture,,2023-8-9,ARCHITECTURE
/content/asl_app_data/dictionary/SG ASL Arctic 1 2023-8-10 CC.mp4,SG ASL Arctic 1 2023-8-10 CC.mp4,Arctic,,2023-8-10,ARCTIC
/content/asl_app_data/dictionary/SG ASL Ardent (Alt) 2023-8-10 CC.mp4,SG ASL Ardent (Alt) 2023-8-10 CC.mp4,Ardent,,2023-8-10,ARDENT
/content/asl_app_data/dictionary/SG ASL Ardous 2023-8-11 CC.mp4,SG ASL Ardous 2023-8-11 CC.mp4,Ardous,,2023-8-11,ARDOUS
/content/asl_app_data/dictionary/SG ASL Area (Alt) 2023-8-11 CC.mp4,SG ASL Area (Alt) 2023-8-11 CC.mp4,Area,,2023-8-11,AREA
/content/asl_app_data/dictionary/SG ASL Arena 1 2023-8-12 CC.mp4,SG ASL Arena 1 2023-8-12 CC.mp4,Arena,,2023-8-12,ARENA
/content/asl_app_data/dictionary/SG ASL Arm 2023-8-14 CC.mp4,SG ASL Arm 2023-8-14 CC.mp4,Arm,,2023-8-14,ARM
/content/asl_app_data/dictionary/SG ASL Armed Forces 2023-8-12 CC.mp4,SG ASL Armed Forces 2023-8-12 CC.mp4,,Armed Forces,2023-8-12,ARMED FORCES
/content/asl_app_data/dictionary/SG ASL Armenia 1 2023-8-13 CC.mp4,SG ASL Armenia 1 2023-8-13 CC.mp4,Armenia,,2023-8-13,ARMENIA
/content/asl_app_data/dictionary/SG ASL Armidillo 1 2023-8-13 CC.mp4,SG ASL Armidillo 1 2023-8-13 CC.mp4,Armidillo,,2023-8-13,ARMIDILLO
/content/asl_app_data/dictionary/SG ASL Armpits 2023-8-13 CC.mp4,SG ASL Armpits 2023-8-13 CC.mp4,Armpits,,2023-8-13,ARMPITS
/content/asl_app_data/dictionary/SG ASL Arms 1 2023-8-14 CC.mp4,SG ASL Arms 1 2023-8-14 CC.mp4,Arms,,2023-8-14,ARMS
/content/asl_app_data/dictionary/SG ASL Army 2023-8-14 CC.mp4,SG ASL Army 2023-8-14 CC.mp4,Army,,2023-8-14,ARMY
/content/asl_app_data/dictionary/SG ASL Army Tank 2023-8-14 CC.mp4,SG ASL Army Tank 2023-8-14 CC.mp4,,Army Tank,2023-8-14,ARMY TANK
/content/asl_app_data/dictionary/SG ASL Aromatic 2023-8-15 CC.mp4,SG ASL Aromatic 2023-8-15 CC.mp4,Aromatic,,2023-8-15,AROMATIC
/content/asl_app_data/dictionary/SG ASL Around (Alt) 2023-8-15 CC.mp4,SG ASL Around (Alt) 2023-8-15 CC.mp4,Around,,2023-8-15,AROUND
/content/asl_app_data/dictionary/SG ASL Arouse 1 2023-8-16 CC.mp4,SG ASL Arouse 1 2023-8-16 CC.mp4,Arouse,,2023-8-16,AROUSE
/content/asl_app_data/dictionary/SG ASL Arrange 2023-8-17 CC.mp4,SG ASL Arrange 2023-8-17 CC.mp4,Arrange,,2023-8-17,ARRANGE
/content/asl_app_data/dictionary/SG ASL Arranged Marriage 2023-8-17 CC.mp4,SG ASL Arranged Marriage 2023-8-17 CC.mp4,,Arranged Marriage,2023-8-17,ARRANGED MARRIAGE
/content/asl_app_data/dictionary/SG ASL Arrest (Alt) 1 2023-8-17 CC.mp4,SG ASL Arrest (Alt) 1 2023-8-17 CC.mp4,Arrest,,2023-8-17,ARREST
/content/asl_app_data/dictionary/SG ASL Arrest Warrant 1 2023-8-18 CC.mp4,SG ASL Arrest Warrant 1 2023-8-18 CC.mp4,,Arrest Warrant,2023-8-18,ARREST WARRANT
/content/asl_app_data/dictionary/SG ASL Arrival Time 1 2023-8-18 CC.mp4,SG ASL Arrival Time 1 2023-8-18 CC.mp4,,Arrival Time,2023-8-18,ARRIVAL TIME
/content/asl_app_data/dictionary/SG ASL Arrive (Alt) 2023-8-18 CC.mp4,SG ASL Arrive (Alt) 2023-8-18 CC.mp4,Arrive,,2023-8-18,ARRIVE
/content/asl_app_data/dictionary/SG ASL Arrogant (Alt) 1 2023-8-19 CC.mp4,SG ASL Arrogant (Alt) 1 2023-8-19 CC.mp4,Arrogant,,2023-8-19,ARROGANT
/content/asl_app_data/dictionary/SG ASL Arrow 1 2023-8-22 CC.mp4,SG ASL Arrow 1 2023-8-22 CC.mp4,Arrow,,2023-8-22,ARROW
/content/asl_app_data/dictionary/SG ASL Arson 1 2023-8-22 CC.mp4,SG ASL Arson 1 2023-8-22 CC.mp4,Arson,,2023-8-22,ARSON
/content/asl_app_data/dictionary/SG ASL Art 1 2023-8-23 CC.mp4,SG ASL Art 1 2023-8-23 CC.mp4,Art,,2023-8-23,ART
/content/asl_app_data/dictionary/SG ASL Art Gallery 1 2023-8-23 CC.mp4,SG ASL Art Gallery 1 2023-8-23 CC.mp4,,Art Gallery,2023-8-23,ART GALLERY
/content/asl_app_data/dictionary/SG ASL Article 1 2023-8-23 CC.mp4,SG ASL Article 1 2023-8-23 CC.mp4,Article,,2023-8-23,ARTICLE
/content/asl_app_data/dictionary/SG ASL Articulate (Alt) 1 2023-8-24 CC.mp4,SG ASL Articulate (Alt) 1 2023-8-24 CC.mp4,Articulate,,2023-8-24,ARTICULATE
/content/asl_app_data/dictionary/SG ASL Artifact 1 2023-8-24 CC.mp4,SG ASL Artifact 1 2023-8-24 CC.mp4,Artifact,,2023-8-24,ARTIFACT
/content/asl_app_data/dictionary/SG ASL Artificial (Alt) 2023-8-25 CC.mp4,SG ASL Artificial (Alt) 2023-8-25 CC.mp4,Artificial,,2023-8-25,ARTIFICIAL
/content/asl_app_data/dictionary/SG ASL Artificial Variant 1 2023-8-25 CC.mp4,SG ASL Artificial Variant 1 2023-8-25 CC.mp4,,Artificial Variant,2023-8-25,ARTIFICIAL VARIANT
/content/asl_app_data/dictionary/SG ASL Artist 2023-8-26 CC.mp4,SG ASL Artist 2023-8-26 CC.mp4,Artist,,2023-8-26,ARTIST
/content/asl_app_data/dictionary/SG ASL As 1 2023-8-26 CC.mp4,SG ASL As 1 2023-8-26 CC.mp4,As,,2023-8-26,AS
/content/asl_app_data/dictionary/SG ASL As Well 1 2023-8-27 CC.mp4,SG ASL As Well 1 2023-8-27 CC.mp4,,As Well,2023-8-27,AS WELL
