path,word,token,phrase,upload_date
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Betray (Variant) 2024-4-5 Upload/Documentation/SG ASL Betray (Variant) 2024-4-5 CC.mp4,betray (variant),BETRAY (VARIANT),Betray (Variant),2024-4-5
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Babysit (Variant) 2023-11-27 Upload/Documentation/SG ASL Babysit (Variant) 2023-11-27.mkv,babysit (variant),BABYSIT (VARIANT),Babysit (Variant),2023-11-27
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Babysit (Variant) 2023-11-27 Upload/Documentation/SG ASL Babysit (Variant) 2023-11-27 GIF.gif,babysit (variant),BABYSIT (VARIANT),Babysit (Variant),2023-11-27
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Babysit (Variant) 2023-11-27 Upload/Documentation/SG ASL Babysit (Variant) 2023-11-27 CC.mp4,babysit (variant),BABYSIT (VARIANT),Babysit (Variant),2023-11-27
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bang Up (Alt) 3 2024-1-4 Upload/Documentation/SG ASL Bang Up (Alt) 3 2024-1-4 CC.mp4,bang up (alt) 3,BANG UP (ALT) 3,Bang Up (Alt) 3,2024-1-4
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bang Up (Alt) 3 2024-1-4 Upload/Documentation/SG ASL Bang Up (Alt) 3 2024-1-4.mkv,bang up (alt) 3,BANG UP (ALT) 3,Bang Up (Alt) 3,2024-1-4
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bang Up (Alt) 3 2024-1-4 Upload/Documentation/SG ASL Bang Up (Alt) 3 2024-1-4 GIF.gif,bang up (alt) 3,BANG UP (ALT) 3,Bang Up (Alt) 3,2024-1-4
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Baliff 3 2023-12-18 Upload/Documentation/SG ASL Baliff 3 2023-12-18.mkv,baliff 3,BALIFF 3,Baliff 3,2023-12-18
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Baliff 3 2023-12-18 Upload/Documentation/SG ASL Baliff 3 2023-12-18 CC.mp4,baliff 3,BALIFF 3,Baliff 3,2023-12-18
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Baliff 3 2023-12-18 Upload/Documentation/SG ASL Baliff 3 2023-12-18 GIF.gif,baliff 3,BALIFF 3,Baliff 3,2023-12-18
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Browse Look Around 2024-8-7 Upload/Documentation/SG ASL Browse Look Around 2024-8-7.mkv,browse look around,BROWSE LOOK AROUND,Browse Look Around,2024-8-7
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Browse Look Around 2024-8-7 Upload/Documentation/SG ASL Browse Look Around 2024-8-7 GIF.gif,browse look around,BROWSE LOOK AROUND,Browse Look Around,2024-8-7
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Browse Look Around 2024-8-7 Upload/Documentation/SG ASL Browse Look Around 2024-8-7 CC.mp4,browse look around,BROWSE LOOK AROUND,Browse Look Around,2024-8-7
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Blunder 2024-5-27 Upload/Documentation/SG ASL Blunder 2024-5-27.mkv,blunder,BLUNDER,Blunder,2024-5-27
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Blunder 2024-5-27 Upload/Documentation/SG ASL Blunder 2024-5-27 CC.mp4,blunder,BLUNDER,Blunder,2024-5-27
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Blunder 2024-5-27 Upload/Documentation/SG ASL Blunder 2024-5-27 GIF.gif,blunder,BLUNDER,Blunder,2024-5-27
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bless 2 2024-5-8 Upload/Documentation/SG ASL Bless 2 2024-5-8.mkv,bless 2,BLESS 2,Bless 2,2024-5-8
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bless 2 2024-5-8 Upload/Documentation/SG ASL Bless 2 2024-5-8 CC.mp4,bless 2,BLESS 2,Bless 2,2024-5-8
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bless 2 2024-5-8 Upload/Documentation/SG ASL Bless 2 2024-5-8 GIF.gif,bless 2,BLESS 2,Bless 2,2024-5-8
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Baffle 2023-12-15 Upload/Documentation/SG ASL Baffle 2023-12-15.mkv,baffle,BAFFLE,Baffle,2023-12-15
