path,filename,word,phrase,upload_date,token
/content/asl_app_data/dictionary/SG ASL Annoint Baby 2023-7-4.mkv,SG ASL Annoint Baby 2023-7-4.mkv,,Annoint Baby,2023-7-4,
/content/asl_app_data/dictionary/SG ASL Announce (Alt) 2023-7-5 CC.mp4,SG ASL Announce (Alt) 2023-7-5 CC.mp4,Announce,,2023-7-5,
/content/asl_app_data/dictionary/SG ASL Announcer 2023-7-5.mkv,SG ASL Announcer 2023-7-5.mkv,Announcer,,2023-7-5,
/content/asl_app_data/dictionary/SG ASL Annoy 1 2023-7-5 CC.mp4,SG ASL Annoy 1 2023-7-5 CC.mp4,Annoy,,2023-7-5,
/content/asl_app_data/dictionary/SG ASL Annoyed 2023-7-5 CC.mp4,SG ASL Annoyed 2023-7-5 CC.mp4,Annoyed,,2023-7-5,
/content/asl_app_data/dictionary/SG ASL Annual 1 2023-7-5 CC.mp4,SG ASL Annual 1 2023-7-5 CC.mp4,Annual,,2023-7-5,
/content/asl_app_data/dictionary/SG ASL Annul 2023-7-6 CC.mp4,SG ASL Annul 2023-7-6 CC.mp4,Annul,,2023-7-6,
/content/asl_app_data/dictionary/SG ASL Another 1 2023-7-6 CC.mp4,SG ASL Another 1 2023-7-6 CC.mp4,Another,,2023-7-6,
/content/asl_app_data/dictionary/SG ASL Answer 1 2023-7-6 CC.mp4,SG ASL Answer 1 2023-7-6 CC.mp4,Answer,,2023-7-6,
/content/asl_app_data/dictionary/SG ASL Answer One Handed 2023-7-6 CC.mp4,SG ASL Answer One Handed 2023-7-6 CC.mp4,,Answer One Handed,2023-7-6,
/content/asl_app_data/dictionary/SG ASL Ant 1 2023-7-6 CC.mp4,SG ASL Ant 1 2023-7-6 CC.mp4,Ant,,2023-7-6,
/content/asl_app_data/dictionary/SG ASL Antagonism 1 2023-7-6 CC.mp4,SG ASL Antagonism 1 2023-7-6 CC.mp4,Antagonism,,2023-7-6,
/content/asl_app_data/dictionary/SG ASL Anthem (Alt) 1 2023-7-7 CC.mp4,SG ASL Anthem (Alt) 1 2023-7-7 CC.mp4,Anthem,,2023-7-7,
/content/asl_app_data/dictionary/SG ASL Anthropology Alt 1 2023-7-8 CC.mp4,SG ASL Anthropology Alt 1 2023-7-8 CC.mp4,Anthropology,,2023-7-8,
/content/asl_app_data/dictionary/SG ASL Anti 1 2023-7-8 CC.mp4,SG ASL Anti 1 2023-7-8 CC.mp4,Anti,,2023-7-8,
/content/asl_app_data/dictionary/SG ASL Antichrist 1 2023-7-8 CC.mp4,SG ASL Antichrist 1 2023-7-8 CC.mp4,Antichrist,,2023-7-8,
/content/asl_app_data/dictionary/SG ASL Anticipate 1 2023-7-9 CC.mp4,SG ASL Anticipate 1 2023-7-9 CC.mp4,Anticipate,,2023-7-9,
/content/asl_app_data/dictionary/SG ASL Antidote 1 2023-7-9 CC.mp4,SG ASL Antidote 1 2023-7-9 CC.mp4,Antidote,,2023-7-9,
/content/asl_app_data/dictionary/SG ASL Antifreeze 1 2023-7-10 CC.mp4,SG ASL Antifreeze 1 2023-7-10 CC.mp4,Antifreeze,,2023-7-10,
/content/asl_app_data/dictionary/SG ASL Antigravity 1 2023-7-10 CC.mp4,SG ASL Antigravity 1 2023-7-10 CC.mp4,Antigravity,,2023-7-10,
/content/asl_app_data/dictionary/SG ASL Antigua and Barbardos (Alt) 1 2023-7-10 CC.mp4,SG ASL Antigua and Barbardos (Alt) 1 2023-7-10 CC.mp4,,Antigua and Barbardos,2023-7-10,
/content/asl_app_data/dictionary/SG ASL Antique 2023-7-11 CC.mp4,SG ASL Antique 2023-7-11 CC.mp4,Antique,,2023-7-11,
/content/asl_app_data/dictionary/SG ASL Antiscocial (Alt) 1 2023-7-11 CC.mp4,SG ASL Antiscocial (Alt) 1 2023-7-11 CC.mp4,Antiscocial,,2023-7-11,
/content/asl_app_data/dictionary/SG ASL Antithesis 1 2023-7-13 CC.mp4,SG ASL Antithesis 1 2023-7-13 CC.mp4,Antithesis,,2023-7-13,
/content/asl_app_data/dictionary/SG ASL Antler 1 2023-7-14 CC.mp4,SG ASL Antler 1 2023-7-14 CC.mp4,Antler,,2023-7-14,
/content/asl_app_data/dictionary/SG ASL Antonym 1 2023-7-15 CC.mp4,SG ASL Antonym 1 2023-7-15 CC.mp4,Antonym,,2023-7-15,
/content/asl_app_data/dictionary/SG ASL Anxious (Alt) 1 2023-7-15 CC.mp4,SG ASL Anxious (Alt) 1 2023-7-15 CC.mp4,Anxious,,2023-7-15,
/content/asl_app_data/dictionary/SG ASL Anxious (Alt) Other Variant 1 2023-7-15 CC.mp4,SG ASL Anxious (Alt) Other Variant 1 2023-7-15 CC.mp4,,Anxious Other Variant,2023-7-15,
/content/asl_app_data/dictionary/SG ASL Anxious (Alt) Variant 1 2023-7-15 CC.mp4,SG ASL Anxious (Alt) Variant 1 2023-7-15 CC.mp4,,Anxious Variant,2023-7-15,
/content/asl_app_data/dictionary/SG ASL Any (Alt) 2023-7-16 CC.mp4,SG ASL Any (Alt) 2023-7-16 CC.mp4,Any,,2023-7-16,
/content/asl_app_data/dictionary/SG ASL Anybody (Alt) 1 2023-7-16 CC.mp4,SG ASL Anybody (Alt) 1 2023-7-16 CC.mp4,Anybody,,2023-7-16,
/content/asl_app_data/dictionary/SG ASL Anymore 1 2023-7-16 CC.mp4,SG ASL Anymore 1 2023-7-16 CC.mp4,Anymore,,2023-7-16,
/content/asl_app_data/dictionary/SG ASL Anyone 1 2023-7-16 CC.mp4,SG ASL Anyone 1 2023-7-16 CC.mp4,Anyone,,2023-7-16,
/content/asl_app_data/dictionary/SG ASL Anything (Alt) 2023-7-19 CC.mp4,SG ASL Anything (Alt) 2023-7-19 CC.mp4,Anything,,2023-7-19,
/content/asl_app_data/dictionary/SG ASL Anything OneHanded 1 2023-7-19 CC.mp4,SG ASL Anything OneHanded 1 2023-7-19 CC.mp4,,Anything OneHanded,2023-7-19,
/content/asl_app_data/dictionary/SG ASL Anytime 1 2023-7-19 CC.mp4,SG ASL Anytime 1 2023-7-19 CC.mp4,Anytime,,2023-7-19,
/content/asl_app_data/dictionary/SG ASL Anywhere 1 2023-7-19 CC.mp4,SG ASL Anywhere 1 2023-7-19 CC.mp4,Anywhere,,2023-7-19,
/content/asl_app_data/dictionary/SG ASL Apart 2023-7-20 CC.mp4,SG ASL Apart 2023-7-20 CC.mp4,Apart,,2023-7-20,
/content/asl_app_data/dictionary/SG ASL Apartment 1 2023-7-20 CC.mp4,SG ASL Apartment 1 2023-7-20 CC.mp4,Apartment,,2023-7-20,
/content/asl_app_data/dictionary/SG ASL Apathetic 2023-7-20 CC.mp4,SG ASL Apathetic 2023-7-20 CC.mp4,Apathetic,,2023-7-20,
/content/asl_app_data/dictionary/SG ASL Apathy (Alt) 2023-7-20 CC.mp4,SG ASL Apathy (Alt) 2023-7-20 CC.mp4,Apathy,,2023-7-20,
/content/asl_app_data/dictionary/SG ASL Ape 1 2023-7-21 CC.mp4,SG ASL Ape 1 2023-7-21 CC.mp4,Ape,,2023-7-21,
/content/asl_app_data/dictionary/SG ASL Apex 1 2023-7-22 CC.mp4,SG ASL Apex 1 2023-7-22 CC.mp4,Apex,,2023-7-22,
/content/asl_app_data/dictionary/SG ASL Apology 2023-7-22 CC.mp4,SG ASL Apology 2023-7-22 CC.mp4,Apology,,2023-7-22,
/content/asl_app_data/dictionary/SG ASL Apostrophe 2023-7-23 CC.mp4,SG ASL Apostrophe 2023-7-23 CC.mp4,Apostrophe,,2023-7-23,
/content/asl_app_data/dictionary/SG ASL App 1 2023-7-23 CC.mp4,SG ASL App 1 2023-7-23 CC.mp4,App,,2023-7-23,
/content/asl_app_data/dictionary/SG ASL Appall 2023-7-23 CC.mp4,SG ASL Appall 2023-7-23 CC.mp4,Appall,,2023-7-23,
/content/asl_app_data/dictionary/SG ASL Appalling 2 2023-7-23 CC.mp4,SG ASL Appalling 2 2023-7-23 CC.mp4,Appalling,,2023-7-23,
/content/asl_app_data/dictionary/SG ASL Apparent 1 2023-7-25 CC.mp4,SG ASL Apparent 1 2023-7-25 CC.mp4,Apparent,,2023-7-25,
/content/asl_app_data/dictionary/SG ASL Apparently 1 2023-7-25 CC.mp4,SG ASL Apparently 1 2023-7-25 CC.mp4,Apparently,,2023-7-25,
/content/asl_app_data/dictionary/SG ASL Applaud (Alt) 2023-7-25 CC.mp4,SG ASL Applaud (Alt) 2023-7-25 CC.mp4,Applaud,,2023-7-25,
/content/asl_app_data/dictionary/SG ASL Apple 1 2023-7-27 CC.mp4,SG ASL Apple 1 2023-7-27 CC.mp4,Apple,,2023-7-27,
/content/asl_app_data/dictionary/SG ASL Application 2023-7-28 CC.mp4,SG ASL Application 2023-7-28 CC.mp4,Application,,2023-7-28,
/content/asl_app_data/dictionary/SG ASL Apply (Pertains to) 2023-7-28 CC.mp4,SG ASL Apply (Pertains to) 2023-7-28 CC.mp4,,Apply Pertains to,2023-7-28,
/content/asl_app_data/dictionary/SG ASL Appoint 2023-7-29 CC.mp4,SG ASL Appoint 2023-7-29 CC.mp4,Appoint,,2023-7-29,
/content/asl_app_data/dictionary/SG ASL Appointment 1 2023-7-29 CC.mp4,SG ASL Appointment 1 2023-7-29 CC.mp4,Appointment,,2023-7-29,
/content/asl_app_data/dictionary/SG ASL Appraisal 1 2023-7-30 CC.mp4,SG ASL Appraisal 1 2023-7-30 CC.mp4,Appraisal,,2023-7-30,
/content/asl_app_data/dictionary/SG ASL Appreciate 2023-7-31 CC.mp4,SG ASL Appreciate 2023-7-31 CC.mp4,Appreciate,,2023-7-31,
/content/asl_app_data/dictionary/SG ASL Appreciate One Handed 2023-7-30 CC.mp4,SG ASL Appreciate One Handed 2023-7-30 CC.mp4,,Appreciate One Handed,2023-7-30,
/content/asl_app_data/dictionary/SG ASL Apprehend 2023-7-31 CC.mp4,SG ASL Apprehend 2023-7-31 CC.mp4,Apprehend,,2023-7-31,
/content/asl_app_data/dictionary/SG ASL Apprehensive 1 2023-7-31 CC.mp4,SG ASL Apprehensive 1 2023-7-31 CC.mp4,Apprehensive,,2023-7-31,
/content/asl_app_data/dictionary/SG ASL Apprise 2023-8-1 CC.mp4,SG ASL Apprise 2023-8-1 CC.mp4,Apprise,,2023-8-1,
/content/asl_app_data/dictionary/SG ASL Approach (Alt) 1 2023-8-1 CC.mp4,SG ASL Approach (Alt) 1 2023-8-1 CC.mp4,Approach,,2023-8-1,
/content/asl_app_data/dictionary/SG ASL Approach (Location) (Alt) 2023-8-1 CC.mp4,SG ASL Approach (Location) (Alt) 2023-8-1 CC.mp4,,Approach Location,2023-8-1,
/content/asl_app_data/dictionary/SG ASL Approaching Me 2023-8-2 CC.mp4,SG ASL Approaching Me 2023-8-2 CC.mp4,,Approaching Me,2023-8-2,
/content/asl_app_data/dictionary/SG ASL Appropriate 1 2023-8-2 CC.mp4,SG ASL Appropriate 1 2023-8-2 CC.mp4,Appropriate,,2023-8-2,
/content/asl_app_data/dictionary/SG ASL Approval 2023-8-3 CC.mp4,SG ASL Approval 2023-8-3 CC.mp4,Approval,,2023-8-3,
/content/asl_app_data/dictionary/SG ASL Approximate Alt 2023-8-4 CC.mp4,SG ASL Approximate Alt 2023-8-4 CC.mp4,Approximate,,2023-8-4,
/content/asl_app_data/dictionary/SG ASL Approximate (Local) 2023-8-3 CC.mp4,SG ASL Approximate (Local) 2023-8-3 CC.mp4,,Approximate Local,2023-8-3,
/content/asl_app_data/dictionary/SG ASL Apron 1 2023-8-4 CC.mp4,SG ASL Apron 1 2023-8-4 CC.mp4,Apron,,2023-8-4,
/content/asl_app_data/dictionary/SG ASL Aquarium (Alt) 2023-8-4 CC.mp4,SG ASL Aquarium (Alt) 2023-8-4 CC.mp4,Aquarium,,2023-8-4,
/content/asl_app_data/dictionary/SG ASL Arabic 2023-8-5 CC.mp4,SG ASL Arabic 2023-8-5 CC.mp4,Arabic,,2023-8-5,
/content/asl_app_data/dictionary/SG ASL Arbor 1 2023-8-5 CC.mp4,SG ASL Arbor 1 2023-8-5 CC.mp4,Arbor,,2023-8-5,
/content/asl_app_data/dictionary/SG ASL Arc 1 2023-8-6 CC.mp4,SG ASL Arc 1 2023-8-6 CC.mp4,Arc,,2023-8-6,
/content/asl_app_data/dictionary/SG ASL Arch 1 2023-8-6 CC.mp4,SG ASL Arch 1 2023-8-6 CC.mp4,Arch,,2023-8-6,
/content/asl_app_data/dictionary/SG ASL Archaelogy (Alt) 2023-8-6 CC.mp4,SG ASL Archaelogy (Alt) 2023-8-6 CC.mp4,Archaelogy,,2023-8-6,
/content/asl_app_data/dictionary/SG ASL Archbishop 2023-8-7 CC.mp4,SG ASL Archbishop 2023-8-7 CC.mp4,Archbishop,,2023-8-7,
/content/asl_app_data/dictionary/SG ASL Archepeligo 1 2023-8-7 CC.mp4,SG ASL Archepeligo 1 2023-8-7 CC.mp4,Archepeligo,,2023-8-7,
/content/asl_app_data/dictionary/SG ASL Archery (Alt) 2023-8-8 CC.mp4,SG ASL Archery (Alt) 2023-8-8 CC.mp4,Archery,,2023-8-8,
/content/asl_app_data/dictionary/SG ASL Architect 1 2023-8-9 CC.mp4,SG ASL Architect 1 2023-8-9 CC.mp4,Architect,,2023-8-9,
/content/asl_app_data/dictionary/SG ASL Architect Variant 1 2023-8-9 CC.mp4,SG ASL Architect Variant 1 2023-8-9 CC.mp4,,Architect Variant,2023-8-9,
/content/asl_app_data/dictionary/SG ASL Architecture (Alt) 2023-8-9 CC.mp4,SG ASL Architecture (Alt) 2023-8-9 CC.mp4,Architecture,,2023-8-9,
/content/asl_app_data/dictionary/SG ASL Arctic 1 2023-8-10 CC.mp4,SG ASL Arctic 1 2023-8-10 CC.mp4,Arctic,,2023-8-10,
/content/asl_app_data/dictionary/SG ASL Ardent (Alt) 2023-8-10 CC.mp4,SG ASL Ardent (Alt) 2023-8-10 CC.mp4,Ardent,,2023-8-10,
/content/asl_app_data/dictionary/SG ASL Ardous 2023-8-11 CC.mp4,SG ASL Ardous 2023-8-11 CC.mp4,Ardous,,2023-8-11,
/content/asl_app_data/dictionary/SG ASL Area (Alt) 2023-8-11 CC.mp4,SG ASL Area (Alt) 2023-8-11 CC.mp4,Area,,2023-8-11,
/content/asl_app_data/dictionary/SG ASL Arena 1 2023-8-12 CC.mp4,SG ASL Arena 1 2023-8-12 CC.mp4,Arena,,2023-8-12,
/content/asl_app_data/dictionary/SG ASL Arm 2023-8-14 CC.mp4,SG ASL Arm 2023-8-14 CC.mp4,Arm,,2023-8-14,
/content/asl_app_data/dictionary/SG ASL Armed Forces 2023-8-12 CC.mp4,SG ASL Armed Forces 2023-8-12 CC.mp4,,Armed Forces,2023-8-12,
/content/asl_app_data/dictionary/SG ASL Armenia 1 2023-8-13 CC.mp4,SG ASL Armenia 1 2023-8-13 CC.mp4,Armenia,,2023-8-13,
/content/asl_app_data/dictionary/SG ASL Armidillo 1 2023-8-13 CC.mp4,SG ASL Armidillo 1 2023-8-13 CC.mp4,Armidillo,,2023-8-13,
/content/asl_app_data/dictionary/SG ASL Armpits 2023-8-13 CC.mp4,SG ASL Armpits 2023-8-13 CC.mp4,Armpits,,2023-8-13,
